symbol,strike,iv,last_price,expiry,type,underlying_price,moneyyyyy,expiry_dt,T,d2,exercise_prob
AAPL US 02/20/26 C380 Equity,380.0,11.59799,0.01,2/20/2026,Call,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C390 Equity,390.0,14.423340000000001,0.01,2/20/2026,Call,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C400 Equity,400.0,13.054359999999999,0.01,2/20/2026,Call,263.8181,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C410 Equity,410.0,13.75473,0.01,2/20/2026,Call,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C420 Equity,420.0,14.43431,0.01,2/20/2026,Call,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C440 Equity,440.0,18.36477,0.01,2/20/2026,Call,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C450 Equity,450.0,18.739819999999998,0.01,2/20/2026,Call,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P100 Equity,100.0,32.06552,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P105 Equity,105.0,30.523200000000003,0.01,2/20/2026,Put,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P110 Equity,110.0,29.05272,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P120 Equity,120.0,28.479760000000002,0.02,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P125 Equity,125.0,27.082269999999998,0.01,2/20/2026,Put,263.8181,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P130 Equity,130.0,25.738449999999997,0.01,2/20/2026,Put,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P135 Equity,135.0,38.15439,0.01,2/20/2026,Put,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P140 Equity,140.0,21.52921,0.02,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P145 Equity,145.0,21.988180000000003,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P150 Equity,150.0,22.20679,0.02,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P155 Equity,155.0,17.94968,0.01,2/20/2026,Put,263.8181,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P160 Equity,160.0,17.27452,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P165 Equity,165.0,15.28473,0.01,2/20/2026,Put,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P170 Equity,170.0,15.032919999999999,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P175 Equity,175.0,13.49522,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
